Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa04668	TNF signaling pathway	Signal transduction	68/2134	7.14664746290736e-14	3.97756543610089e-14	6364/6372/6374/2919/3553/2921/3383/5743/7133/330/1051/9021/2920/4792/843/79651/602/7128/3569/64764/3726/4217/1326/5606/4323/153090/2353/64285/3659/1435/3551/5603/1906/7132/6300/6868/3976/83786/5608/5290/6376/7188/5595/329/5293/257397/355/5600/83737/841/6885/840/4318/10000/9252/1432/1437/5599/5970/7186/5291/5604/4790/148327/23118/7424/8503/10454	68
hsa04010	MAPK signaling pathway	Signal transduction	122/2134	9.68428711360873e-11	5.38992386238357e-11	3552/3553/10125/3643/1942/7422/3815/1848/8912/4791/1847/59285/2261/2260/4217/1326/1846/5606/3556/6196/1649/23162/3554/9175/3164/5922/2353/2065/7039/1435/51347/5058/80824/4294/123745/3551/6655/5603/7132/6788/6300/5321/27330/784/5880/3727/994/929/5881/4909/283748/5608/673/9254/255189/4804/4296/3315/1647/2768/80310/25780/1943/9048/5879/23542/1969/6654/4214/6237/5595/7423/4233/1946/2872/2005/5971/2323/5155/2069/6197/4763/355/1944/5600/5923/51135/1950/9965/7157/8822/2885/59283/10235/6885/8911/5228/778/10000/9252/1432/1844/5495/7786/5599/776/408/5970/7186/22808/5582/57551/2064/5604/7040/4790/1399/23118/1843/7424/10454/7189	122
hsa04657	IL-17 signaling pathway	Immune system	53/2134	1.86698375071845e-10	1.03909561443495e-10	6364/3576/6372/6374/3934/2919/3553/2921/5743/1051/6279/1673/4586/6278/2920/4792/7128/3569/9641/4322/1440/7184/727897/2353/9618/29110/3551/5603/27189/6300/3727/10758/7188/100289462/5597/5595/257397/5600/23765/841/132014/6885/4318/1432/84818/6361/1437/5599/5970/7186/4790/23118/7189	53
hsa05165	Human papillomavirus infection	Infectious disease: viral	127/2134	3.21766517057153e-09	1.79083602959819e-09	5743/5522/3678/4600/4599/9636/3455/1298/7422/8324/3914/3696/64764/9641/10312/6773/6696/8638/3694/2335/4193/4851/54361/10379/3105/3918/7098/3659/3915/4853/1282/3993/27175/3913/8321/10319/896/29110/3911/7248/3551/7476/5663/6655/5986/1026/84612/7132/54626/7059/5934/5526/1739/3106/6772/83439/3672/1027/3996/1101/84441/57801/5290/23352/3716/3107/8322/3685/7474/6934/6654/535/245973/5595/3280/3693/3516/5293/1857/578/5525/3691/3675/3371/355/4242/1292/1284/1950/2308/7157/8312/10474/3454/63923/3910/841/3688/5584/2885/5520/2535/5649/1741/3955/51606/10000/5747/1277/533/5728/3133/3674/3676/55534/5970/537/5291/5604/4790/3912/148327/80326/7483/8503/7855/5610	127
hsa04148	Efferocytosis	Transport and catabolism	72/2134	3.91355575553232e-09	2.17814355419826e-09	5743/1051/5031/6446/834/1847/4035/140885/961/100133941/4776/1846/23250/5175/5777/80824/6256/338440/558/23200/5603/3717/6300/102/6868/7376/23339/5869/1901/246/6376/488/26762/5029/8398/64284/3685/5879/489/55113/55754/5595/2057/6513/3693/6566/196527/5600/240/8754/10326/5868/840/23659/3091/5747/1432/8877/1844/19/487/161291/5604/7040/811/1375/64601/1399/57617/29933/7301/50636	72
hsa05168	Herpes simplex virus 1 infection	Infectious disease: viral	79/2134	1.49364509979958e-08	8.31308827474663e-09	718/3553/4939/330/972/4938/3678/9021/3455/4792/4940/684/3569/9641/567/6773/637/6714/64135/10379/3105/317/7098/5371/6672/3459/5500/55080/29110/7248/3551/3665/2923/6041/7132/9451/3717/727/3106/6772/3123/842/3460/5290/3716/3107/7188/5452/8740/329/5293/578/6850/5451/64170/355/51135/7157/6732/8764/3454/25833/841/6885/10000/3133/5970/7186/29992/5291/4790/811/23118/3117/8503/27102/10454/5610/7189	79
hsa04151	PI3K-Akt signaling pathway	Signal transduction	131/2134	5.27369561701976e-08	2.93514819580047e-08	5522/6446/118788/3678/3643/3455/1942/1298/7422/3815/54541/3914/3569/9180/2261/3696/64764/2260/5562/6696/3566/5106/1440/3694/2335/7184/4193/3164/54331/3918/3718/2065/3915/1282/7039/3913/1435/2998/10319/23566/896/6256/3911/7248/1902/3551/6655/1026/7059/5934/3717/5526/3672/1027/842/1101/57121/4909/2997/3561/5563/5290/2309/3574/3575/4804/3716/80310/3685/1943/9048/5879/59345/1969/6654/5595/2057/3693/7423/4233/5293/1946/2323/5155/5525/2069/6850/3691/3675/10681/3371/10018/1944/1292/1284/1950/9965/7157/8822/3454/63923/3560/3910/4846/3688/4170/2885/5520/200186/5649/5228/10000/5747/1277/5728/3674/3676/2792/5970/10161/92579/2064/5291/5604/9863/4790/3912/148327/2783/7424/8503	131
hsa04621	NOD-like receptor signaling pathway	Immune system	79/2134	7.06025342463971e-08	3.92948163984787e-08	3576/2919/3553/2921/4939/330/1673/2634/4938/23710/5330/10628/2920/834/3455/2633/22861/4792/4940/7128/3569/837/10135/9641/6773/8767/3428/114769/2635/10379/838/115362/1508/115361/29110/3551/3665/10616/6041/5603/6300/3710/6772/118429/79671/10010/1535/10392/3716/7188/100289462/90550/5580/84674/5595/329/51393/64170/257397/5600/51135/3454/11337/841/6885/140609/1432/5599/23236/81631/5970/7186/11345/388646/4790/3709/23118/10454/7189	79
hsa04015	Rap1 signaling pathway	Signal transduction	86/2134	7.06025342463971e-08	3.92948163984787e-08	3643/5330/5900/1942/7422/3815/5909/6494/2261/112/2260/2770/9771/5606/10411/6714/2889/3397/25865/7410/1435/83593/23566/64411/1902/84612/5603/6300/7408/5880/57121/5881/5217/5608/23094/5290/673/3689/4804/3683/80310/25780/1943/5879/1969/6237/5595/10451/2776/7423/4233/5293/1946/5155/1944/5600/1950/9965/8822/3688/5584/23683/10235/9732/5228/51196/10000/5899/1432/113/196883/8631/3674/23236/7074/22808/5582/5291/5604/9863/83660/1399/11069/7424/8503/57568	86
hsa04510	Focal adhesion	Cellular community - eukaryotes	83/2134	7.81874551818549e-08	4.35163089941358e-08	330/3678/1298/7422/3914/3696/6696/56924/3694/2335/6714/2889/3918/3915/1282/7410/3913/5500/10319/5058/896/3911/6655/7059/7408/2534/3672/5880/1101/5881/5290/673/10627/80310/3685/25759/5879/6654/5595/10451/3693/7423/329/10398/4233/5293/5155/3691/3675/3371/1292/5923/1284/1950/10298/63923/3910/3688/2885/103910/4636/5649/5228/53358/10000/5747/1277/5728/3674/3676/399694/5599/5582/2064/5291/5604/83660/3912/6464/1399/8394/7424/8503	83
hsa04014	Ras signaling pathway	Signal transduction	93/2134	1.24787560572696e-07	6.94522418190445e-08	10125/3643/5900/1942/7422/3815/5337/2261/2260/5966/9771/56924/54331/5922/23179/7039/8844/1435/57186/83593/5058/29110/8437/123745/3551/6655/253959/5321/5880/64600/5869/5881/4909/283748/9610/2549/5290/255189/4303/4804/51365/80310/8398/25759/25780/1943/5879/59345/1969/6654/6237/5595/7423/100271927/4233/5293/1946/2323/5155/10156/10681/4763/1944/5923/1950/9965/10298/8822/2885/10235/55770/5868/5228/51196/53358/10000/5899/57148/399694/5599/2792/5970/7074/22808/5582/5291/5604/22821/4790/6464/2783/7424/8503	93
hsa04620	Toll-like receptor signaling pathway	Immune system	52/2134	1.37098408259356e-07	7.63040142762298e-08	3576/3553/3929/3455/4792/3569/9641/6773/6696/1326/5606/23643/10379/2353/7098/958/29110/3551/3665/5603/6300/7100/6772/3663/929/5608/5290/3716/5879/6373/5595/5293/5600/51135/54472/10333/3454/841/6885/10000/1432/1513/5599/7096/5970/5291/5604/4790/23118/8503/10454/7189	52
hsa05417	Lipid and atherosclerosis	Cardiovascular disease	86/2134	1.37098408259356e-07	7.63040142762298e-08	3576/6648/2919/3553/2921/3383/3929/6774/5330/2920/834/4792/3569/8743/9641/4217/4067/7494/8795/637/5606/1543/1649/7184/6714/2081/23643/2353/317/7410/958/7436/29110/6256/3309/3551/3665/5603/142678/7132/9451/3717/4780/6300/10010/842/929/1535/8797/5608/5290/5879/5452/5595/10451/5293/1559/6403/5451/355/5600/51135/27035/7157/10333/25833/841/4846/6885/840/4318/10000/4973/5747/1432/19/5599/23236/5970/7186/5291/4790/23118/8503/10454/7189	86
hsa05130	Pathogenic Escherichia coli infection	Infectious disease: bacterial	82/2134	1.37098408259356e-07	7.63040142762298e-08	3576/3553/9076/834/4792/3569/9069/9871/837/8743/9267/8795/6714/3554/4690/2353/9826/1366/9632/5777/5058/1902/3551/8976/5603/7132/10810/6300/7100/10802/2534/644150/842/57121/8797/79784/10972/2768/55971/1364/5879/10686/5595/7456/10092/578/347733/257397/355/5600/51135/10163/9181/4542/27128/841/3688/4651/23365/4641/2212/6885/840/7009/4643/1432/9266/653857/5599/10672/5970/7186/4646/8440/375/4790/3059/23118/64005/5861/10454/7189	82
hsa04072	Phospholipase D signaling pathway	Signal transduction	65/2134	1.39214848015362e-07	7.74819480787254e-08	3576/2185/3643/5330/1759/5900/3815/5337/112/9267/10555/10411/1606/23566/56894/7248/1902/123745/6655/2534/5321/1609/57121/283748/2549/5290/255189/2768/80310/25759/1785/6654/6237/5595/5293/5155/6850/1950/26052/27128/2885/8526/53358/10000/5899/8877/113/196883/9266/399694/23236/10672/10161/22808/5291/5604/5737/375/6464/1608/11069/1607/8394/2911/8503	65
hsa05169	Epstein-Barr virus infection	Infectious disease: viral	82/2134	2.05313636581642e-07	1.14270142562076e-07	3383/4939/4938/9636/6774/3455/4792/4940/4791/7128/3569/9641/567/4067/6773/637/4794/5606/4193/10379/3105/3718/317/958/55080/896/29110/3551/3665/2923/1026/29760/5603/6300/3106/6772/377841/3123/1027/842/5608/5290/3716/1647/3683/3107/7188/5879/3280/3516/5293/5971/578/6850/10018/355/5600/51135/7157/3454/841/6885/9612/10000/1643/9541/1432/960/3133/5599/5970/7186/5291/4790/811/23118/956/3117/8503/10454/5610/7189	82
hsa04144	Endocytosis	Transport and catabolism	96/2134	2.09330857489985e-07	1.1650598239007e-07	1759/5337/1601/116985/26286/2261/9267/10938/8853/868/4088/116986/6714/4193/118813/3105/10564/5371/64411/155382/8976/84612/51100/3106/57154/23096/11031/644150/8766/138429/57132/5869/9815/9922/55048/3561/55616/30846/84440/7251/89853/64744/23624/55738/9829/11059/26056/3107/1785/30844/10193/64145/7456/51160/10092/274/56904/28964/116984/137492/9744/30011/26052/79720/27128/9372/51510/83737/3560/5584/5662/55040/5868/10565/378/91782/9266/22905/23550/3133/653857/408/9146/8729/8411/254122/116983/375/112936/161/100526767/377/8394/27243/93343/7189	96
